Date,Time,Latitude,Longitude,Altitude,Battery Voltage (V),Sats used,Wind Speed (m/s),Wind Dir (deg),Vertical Speed (m/s),Temperature(deg),Pressure (hPa),Humidity (%),Dew point (deg),variance_accX, variance_accY, variance_accZ, variance_gyrX, variance_gyrY, variance_gyrZ  
2021-01-27,10:37:36,51.022675,7.561796,312.9,2.8,10,0.0,13,0.1,0.0,979.2,93.2,-0.9,0.004883227725553393,0.009383306883632155,0.012264297385810521,0.0004256904125213623,0.0005213618073463443,0.0004256904125213623
2021-01-27,10:37:37,51.022675,7.561797,312.8,2.8,10,0.1,232,0.0,0.1,979.3,93.3,-0.9,0.006056898548776792,0.005746078491210937,0.007037491518355739,0.0,0.0004256901331245899,0.0004256904125213623
2021-01-27,10:37:38,51.022675,7.561798,312.7,2.8,10,0.1,227,0.0,0.1,979.3,92.9,-0.9,0.012486627668797906,0.00558418454437604,0.0035833095052703783,0.0008513808250427246,0.0008513801847584557,0.0007963932408693983
2021-01-27,10:37:39,51.022675,7.561800,312.5,2.8,10,0.2,207,-0.1,0.2,979.3,92.5,-0.9,0.005245428011385801,0.007780227056441718,0.010314535964695457,0.0004256889224052429,0.0005213618073463443,0.0004256904125213623
2021-01-27,10:37:40,51.022677,7.561801,312.5,2.8,9,0.0,211,-0.1,0.2,979.2,91.9,-1.0,0.0023458267209080386,0.003028449274388396,0.0035833095052703783,0.0,0.0004256901331245899,0.0005213621495361084
2021-01-27,10:37:41,51.022677,7.561802,312.3,2.8,10,0.0,180,0.0,0.2,979.3,92.3,-0.9,0.007166629365050591,0.00635252879042605,0.008238272698559004,0.0008513808250427246,0.0010427234435978093,0.0010427231584397114
2021-01-27,10:37:42,51.022677,7.561803,312.2,2.8,10,0.1,168,0.1,0.2,979.3,92.4,-0.9,0.007037480162724116,0.003830718994140625,0.006056898548776792,0.0004256889224052429,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:37:43,51.022677,7.561803,312.3,2.8,11,0.1,198,0.0,0.2,979.2,91.7,-1.0,0.004282874036799028,0.0023458267209080386,0.006495300072721857,0.0,0.0004256901331245899,0.0005213621495361084
2021-01-27,10:37:44,51.022677,7.561802,312.5,2.8,11,0.1,128,0.0,0.2,979.3,91.9,-1.0,0.006771818443942366,0.003028449274388396,0.00558418454437604,0.0,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:37:45,51.022677,7.561802,312.5,2.8,11,0.1,229,0.1,0.1,979.2,91.8,-1.1,0.003028449274388396,0.003028449274388396,0.007166629365050591,0.0,0.0005213618073463443,0.0004256904125213623
2021-01-27,10:37:46,51.022676,7.561803,312.3,2.8,11,0.1,152,0.0,0.1,979.4,91.8,-1.1,0.004883227725553393,0.004883227725553393,0.004883227725553393,0.0,0.0004256901331245899,0.0005213621495361084
2021-01-27,10:37:47,51.022677,7.561803,312.2,2.8,11,0.1,186,-0.1,0.1,979.3,91.8,-1.1,0.004282874036799028,0.006771818443942366,0.013678419455899664,0.0004256889224052429,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:37:48,51.022676,7.561803,312.2,2.8,11,0.1,48,-0.1,0.1,979.3,92.0,-1.1,0.004883227725553393,0.004691653441816077,0.0074181554341535335,0.0,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:37:49,51.022676,7.561802,312.1,2.8,11,0.1,172,0.0,0.0,979.2,91.8,-1.1,0.004883227725553393,0.003583309505270378,0.009859924010545083,0.0,0.0005213618073463443,0.0008513801731169988
2021-01-27,10:37:50,51.022675,7.561802,312.1,2.8,11,0.2,17,0.1,0.1,979.2,91.9,-1.0,0.007037487462778725,0.005746078491210937,0.009766461880299858,0.0004256889224052429,0.0020636092148849008,0.0022725631433975144
2021-01-27,10:37:51,51.022675,7.561803,312.3,2.8,11,0.1,197,0.0,0.2,979.2,92.3,-0.9,0.004883227725553393,0.004282874036799028,0.006352536877596552,0.0,0.0,0.0005213621495361084
2021-01-27,10:37:52,51.022675,7.561804,312.3,2.8,10,0.1,210,0.0,0.3,979.2,92.0,-0.8,0.004883227725553393,0.004282874036799028,0.00383073091506958,0.0004256889224052429,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:37:53,51.022675,7.561804,312.3,2.8,10,0.1,255,0.1,0.3,979.3,91.4,-0.9,0.004282874036799028,0.003830718994140625,0.003830718994140625,0.0004256889224052429,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:37:54,51.022674,7.561805,312.2,2.8,10,0.1,47,0.0,0.4,979.2,91.5,-0.8,0.004883237077105045,0.004282874036799028,0.005746086438503777,0.0,0.0005213618073463443,0.0005213621495361084
